,background,body,spikes,roar,eyes,hats,elements
937,background-cloud,body-yellow,spikes,roar-blue2,eyes-glasses4,elements-horn,elements-flower
938,background-cyan,body-yellow,spikes,roar-mask,eyes-glasses2,elements-flower1,elements-flower
939,background-green,body-yellow,spikes,roar-rainbow,eyes-glasses7,elements-halo,elements-flower
940,background-green,body-yellow,spikes,roar-green,eyes-glasses7,elements-halo,elements-flower
941,background-cyan,body-blue,spikes,roar-purple,eyes-glasses5,elements-bluehat,elements-firetail
942,background-cyan,body-cyan,spikes,roar-blue,eyes-1,elements-greenhat,elements-firetail
943,background-green,body-pink,spikes,roar-fire,eyes-glasses3,elements-bluehat,elements-flower
944,background-red2,body-yellow,spikes,roar-tongue,eyes-glasses1,elements-halo,elements-planet
945,background-blue,body-blue,spikes,roar-tongue2,eyes-glasses3,elements-bluehat,elements-planet
946,background-sun,body-pink,spikes,roar-purple,eyes-glasses6,elements-halo,elements-flower
947,background-cloud,body-yellow,spikes,roar-pink,eyes-1,elements-bluehat,elements-firetail
948,background-lines,body-purple,spikes,roar-flowers,eyes-glasses3,elements-horn,elements-firetail
949,background-cyan,body-cyan,spikes,roar-pink,eyes-1,elements-halo,elements-firetail
950,background-red2,body-purple,spikes,roar-flowers,eyes-1,elements-flower1,elements-firetail
951,background-sun,body-yellow,spikes,roar-blue,eyes-2,elements-greenhat,elements-planet
952,background-blue,body-green,spikes,roar-drool,eyes-glasses1,elements-bluehat,elements-firetail
953,background-orange,body-yellow,spikes,roar-tongue,eyes-glasses5,elements-flower1,elements-firetail
954,background-pink,body-red,spikes,roar-drool,eyes-glasses3,elements-flower1,elements-firetail
955,background-yellow,body-pink,spikes,roar-flowers,eyes-2,elements-horn,elements-firetail
956,background-orange,body-yellow,spikes,roar-blue,eyes-glasses6,elements-crown,elements-planet
957,background-sun,body-orange,spikes,roar-blue2,eyes-glasses1,elements-greenhat,elements-firetail
958,background-orange,body-pink,spikes,roar-rainbow,eyes-3,elements-bluehat,elements-firetail
959,background-orange,body-red,spikes,roar-tongue,eyes-tear,elements-bluehat,elements-flower
960,background-sun,body-purple,spikes,roar-tongue2,eyes-tear,elements-greenhat,elements-planet
961,background-cloud,body-pink2,spikes,roar-tongue,eyes-glasses3,elements-bluehat,elements-planet
962,background-yellow,body-green,spikes,roar-yellow,eyes-glasses5,elements-bluehat,elements-planet
963,background-fgdarkblue,body-yellow,spikes,roar-yellow,eyes-glasses6,elements-greenhat,elements-planet
964,background-pink,body-orange,spikes,roar-flowers,eyes-tear,elements-halo,elements-planet
965,background-pink,body-pink2,spikes,roar-blue2,eyes-2,elements-halo,elements-firetail
966,background-themed,body-blue,spikes,roar-fire,eyes-glasses1,elements-greenhat,elements-planet
967,background-sun,body-green,spikes,roar-rainbow,eyes-1,elements-halo,elements-firetail
968,background-orange,body-red,spikes,roar-fire,eyes-glasses6,elements-horn,elements-planet
969,background-cloud,body-pink,spikes,roar-blue,eyes-1,elements-horn,elements-flower
970,background-cyan,body-pink,spikes,roar-purple,eyes-3,elements-halo,elements-planet
971,background-purple2,body-red,spikes,roar-blue3,eyes-3,elements-greenhat,elements-flower
972,background-lines,body-green,spikes,roar-blue3,eyes-glasses7,elements-halo,elements-planet
973,background-cloud,body-cyan,spikes,roar-flowers,eyes-2,elements-greenhat,elements-planet
974,background-pink,body-yellow,spikes,roar-tongue,eyes-2,elements-crown,elements-planet
975,background-red2,body-yellow,spikes,roar-rainbow,eyes-3,elements-greenhat,elements-firetail
976,background-sun,body-green,spikes,roar-fire,eyes-glasses2,elements-greenhat,elements-firetail
977,background-cyan,body-blue,spikes,roar-mask,eyes-2,elements-greenhat,elements-firetail
978,background-blue,body-orange,spikes,roar-blue2,eyes-tear,elements-halo,elements-planet
979,background-green,body-green,spikes,roar-tongue2,eyes-tear,elements-horn,elements-planet
980,background-purple2,body-pink2,spikes,roar-green,eyes-glasses2,elements-crown,elements-flower
981,background-cloud,body-purple,spikes,roar-blue,eyes-1,elements-horn,elements-firetail
982,background-orange,body-pink2,spikes,roar-tongue2,eyes-glasses5,elements-halo,elements-planet
983,background-pink2,body-blue,spikes,roar-yellow,eyes-tear,elements-crown,elements-firetail
984,background-pink,body-green,spikes,roar-drool,eyes-glasses1,elements-greenhat,elements-planet
985,background-green,body-pink2,spikes,roar-mask,eyes-glasses4,elements-horn,elements-planet
986,background-cloud,body-pink2,spikes,roar-blue3,eyes-glasses7,elements-crown,elements-planet
987,background-fgdarkblue,body-pink,spikes,roar-fire,eyes-glasses4,elements-bluehat,elements-firetail
988,background-red2,body-pink,spikes,roar-mask,eyes-glasses5,elements-crown,elements-flower
989,background-red2,body-yellow,spikes,roar-blue2,eyes-glasses7,elements-crown,elements-flower
990,background-cyan,body-pink2,spikes,roar-tongue,eyes-3,elements-crown,elements-planet
991,background-themed,body-green,spikes,roar-pink,eyes-tear,elements-horn,elements-firetail
992,background-cyan,body-red,spikes,roar-blue,eyes-3,elements-horn,elements-planet
993,background-pink2,body-yellow,spikes,roar-green,eyes-glasses3,elements-horn,elements-firetail
994,background-yellow,body-yellow,spikes,roar-fire,eyes-glasses2,elements-horn,elements-flower
995,background-lines,body-pink,spikes,roar-fire,eyes-1,elements-horn,elements-planet
996,background-themed,body-red,spikes,roar-tongue2,eyes-glasses4,elements-bluehat,elements-firetail
997,background-orange,body-cyan,spikes,roar-fire,eyes-glasses6,elements-flower1,elements-firetail
998,background-themed,body-red,spikes,roar-pink,eyes-glasses4,elements-flower1,elements-planet
999,background-fgdarkblue,body-cyan,spikes,roar-tongue,eyes-glasses4,elements-crown,elements-flower
